,0,1,2,3,4
10,"""1945: 12 Städte, 12 Schicksale""",(2015),Braunau am Inn, Upper Austria,"(48.253136, 13.039506)"
16,"""1945: 12 Städte, 12 Schicksale""",(2015),Warsaw, Mazowieckie,"(52.2319581, 21.0067249)"
42,"""#15SecondScare""",(2015),West Hills, California,"(40.8212755, -73.43679367645896)"
57,"""360@""",(2015),Mexico,,"(22.5000485, -100.0000375)"
65,"""2015 World Series""",(2015),Citi Field - 126th Street & Roosevelt Avenue, Flushing,"(40.7654301, -73.8174291)"
68,"""#KateConwayisaJerk""",(2015),Broadview Avenue, Toronto,"(35.5601553, -82.508691)"
76,"""(Not) Brothers""",(2015),New York City, New York,"(40.7127281, -74.0060152)"
80,"""A Weekend with Jacob Prasch""",(2015),Dublin Community Recreation Center, 5600 Post Road,"(-27.9955439, 122.89455470946007)"
96,"""57, 58, 59, SECHZIG! Die Löwen-Dokumentation""",(2015),Kiel, Schleswig-Holstein,"(54.3227085, 10.135555)"
106,"""1945: 12 Städte, 12 Schicksale""",(2015),Wien, Austria,"(48.2083537, 16.3725042)"
107,"""1945: 12 Städte, 12 Schicksale""",(2015),Nürnberg, Germany,"(49.453872, 11.077298)"
114,"""800 Words""",(2015),548 West Coast Road, Oratia,"(-42.9076844, 171.5590008)"
119,"""360@""",(2015),Brazil,,"(-10.3333333, -53.2)"
141,"""360@""",(2015),Italy,,"(42.6384261, 12.674297)"
156,"""1945: 12 Städte, 12 Schicksale""",(2015),Korbach, Hessen,"(51.27242185, 8.883906640788503)"
174,"""1945: 12 Städte, 12 Schicksale""",(2015),Copenhagen, Denmark,"(55.6867243, 12.5700724)"
180,"""1iota Update""",(2015),Los Angeles, California,"(34.0536909, -118.242766)"
183,"""1/4 Mermaid""",(2015),Los Angeles, California,"(34.0536909, -118.242766)"
190,"""1945: 12 Städte, 12 Schicksale""",(2015),Obersalzberg, Berchtesgaden,"(47.6307002, 13.0417664)"
219,"""1945: 12 Städte, 12 Schicksale""",(2015),Seelow, Brandenburg,"(52.5318238, 14.380704)"
223,"""1945: 12 Städte, 12 Schicksale""",(2015),Nordhausen, Thuringia,"(51.5051574, 10.7925317)"
224,"""2-Bit Review""",(2015),Avon, Indiana,"(48.4048867, 2.7207225)"
229,"""A Very British Romance""",(2015),Bath, Somerset,"(51.3813864, -2.3596963)"
234,"""1945: 12 Städte, 12 Schicksale""",(2015),Potsdam, Brandenburg,"(52.4009309, 13.0591397)"
243,"""A Ladies' Guide to Making Conversation More Interesting""",(2015),Woodside, Queens,"(37.4299388, -122.2538557)"
260,"""1945: 12 Städte, 12 Schicksale""",(2015),Peine, Niedersachsen,"(52.3217849, 10.2349489)"
279,"""#MommasGotBars""",(2015),Brooklyn, New York,"(40.6501038, -73.9495823)"
283,"""A Única Mulher""",(2015),Quedas de água de Kalandula, Angola,"(-11.8775768, 17.5691241)"
284,"""800 Words""",(2015),Karekare Beach, Karekare,"(-36.98847845, 174.4726009314886)"
292,"""1945: 12 Städte, 12 Schicksale""",(2015),Dachau, Bavaria,"(48.2592477, 11.4354419)"
304,"""12 Monkeys""",(2015),Prague, Czech Republic,"(50.0874654, 14.4212535)"
314,"""1945: 12 Städte, 12 Schicksale""",(2015),Sonthofen, Bavaria,"(47.5134055, 10.2721524)"
331,"""1945: 12 Städte, 12 Schicksale""",(2015),Moorweide, Hamburg,"(53.56267875, 9.991814627931811)"
358,"""1945: 12 Städte, 12 Schicksale""",(2015),Rotterdam, Zuid-Holland,"(51.9228934, 4.4631786)"
378,"""1945: 12 Städte, 12 Schicksale""",(2015),Vienna, Austria,"(48.2083537, 16.3725042)"
443,"""1945: 12 Städte, 12 Schicksale""",(2015),Bonn, North Rhine-Westphalia,"(50.735851, 7.10066)"
464,"""1945: 12 Städte, 12 Schicksale""",(2015),Lübeck, Schleswig-Holstein,"(53.866444, 10.684738)"
483,"""A job. A wife. A life.""",(2015),West Palm Beach, Florida,"(26.715364, -80.0532942)"
485,"""1945: 12 Städte, 12 Schicksale""",(2015),Lódz, Lódzkie,"(51.7687323, 19.4569911)"
526,"""1945: 12 Städte, 12 Schicksale""",(2015),Susice, Czech Republic,"(49.2313907, 13.5204076)"
537,"""12 Monkeys""",(2015),St. Vitus Cathedral, Prague,"(50.09086385, 14.40057198099588)"
539,"""2015 Stanley Cup Finals""",(2015),Amalie Arena - 401 Channelside Drive, Tampa,"(27.942704, -82.45189031562487)"
545,"""A que no me dejas""",(2015),Mexico City, Mexico,"(19.4326296, -99.1331785)"
553,"""120 Seconds""",(2015),Madison Square Garden, New York City,"(40.7505247, -73.99355027800776)"
590,"""A Book a City""",(2015),Taipei, Taiwan,"(25.0375198, 121.5636796)"
610,"""773 the Go""",(2015),Chicago, Illinois,"(41.8755616, -87.6244212)"
625,"""1945: 12 Städte, 12 Schicksale""",(2015),Berlin, Germany,"(52.5170365, 13.3888599)"
635,"""27th Annual Miss Asia USA,11th Annual Mrs. Asia USA and 1st Annual Miss Europe Global Cultural Pageants""",(2015),Redondo Beach Performing Arts Center, Redondo Beach,"(33.8881891, -118.37733655920407)"
670,"""10,000 BC""",(2015),Bulgaria,,"(42.6073975, 25.4856617)"
683,"""12 Monkeys""",(2015),Uxbridge, Ontario,"(51.5449509, -0.4816672)"
687,"""9-2-5""",(2015),Smyrna, Georgia,"(38.4147331, 27.1434119)"
717,"""A Very British Romance""",(2015),Steventon Church, Steventon,"(51.2289303, -1.2190958)"
730,"""A Very British Romance""",(2015),Jane Austen's House Museum, Chawton,"(51.1330749, -0.989069000736702)"
762,"""1945: 12 Städte, 12 Schicksale""",(2015),Amsterdam, Netherlands,"(52.3727598, 4.8936041)"
769,"""1945: 12 Städte, 12 Schicksale""",(2015),Offenburg, Baden-Württemberg,"(48.4716556, 7.944378)"
813,"""#Millennials""",(2015),Los Angeles, California,"(34.0536909, -118.242766)"
816,"""1945: 12 Städte, 12 Schicksale""",(2015),Bergen-Belsen, Niedersachsen,"(48.860138, 2.400045)"
841,"""1945: 12 Städte, 12 Schicksale""",(2015),Gdansk, Pomorskie,"(54.36143405, 18.62821847557274)"
847,"""1945: 12 Städte, 12 Schicksale""",(2015),Zirkow, Rügen,"(54.3896444, 13.5419787)"
848,"""1945: 12 Städte, 12 Schicksale""",(2015),Prinsengracht 263, Amsterdam,"(52.3617907, 4.8962569)"
872,"""A Lesson Learnt""",(2015),Waltham Abbey, Essex,"(51.6892068, -0.0009449)"
917,"""1945: 12 Städte, 12 Schicksale""",(2015),Bad Hersfeld, Hessen,"(50.8681341, 9.7068481)"
918,"""25 Again""",(2015),Los Angeles, California,"(34.0536909, -118.242766)"
1003,"""A Ladies' Guide to Making Conversation More Interesting""",(2015),Washington Heights, Manhattan,"(40.8401984, -73.9402214)"
1005,"""120 Seconds""",(2015),Los Angeles, California,"(34.0536909, -118.242766)"
1011,"""120 Seconds""",(2015),Hollywood Roosevelt Hotel - 7000 Hollywood Blvd., Hollywood,"(34.100968050000006, -118.34181478202902)"
1013,"""A Decade On""",(2015),E - kid - na Cottage Artarmon, New South Wales,"(-31.8759835, 147.2869493)"
